url,mail
https://www.mcgill.ca/studentaid/,student.aid@mcgill.ca
https://www.mcgill.ca/studentaid/,scholarships@mcgill.ca
https://www.mcgill.ca/research/innovation,innovation.vpip@mcgill.ca
https://www.mcgill.ca/studentservices/,stuserv.macdonald@mcgill.ca
https://www.mcgill.ca/studentservices/,student.services@mcgill.ca
https://www.mcgill.ca/engage/,cle@mcgill.ca
https://www.mcgill.ca/equity/initiatives-education/black-history-month,angela.campbell@mcgill.ca
https://www.mcgill.ca/equity/initiatives-education/black-history-month,shanice.yarde@mcgill.ca
https://www.mcgill.ca/misc/channels/event/building-back-green-327748,misc.iecm@mcgill.ca
https://www.mcgill.ca/minerva/,firstname.lastname@mcgill.ca
https://www.mcgill.ca/minerva/,first.last@mcgill.ca
https://www.mcgill.ca/hr/,hr.hr@mcgill.ca
https://www.mcgill.ca/tls/,tls@mcgill.ca
https://www.mcgill.ca/hireastudent/,careers.caps@mcgill.ca
https://www.mcgill.ca/newsroom/contacts,info.communications@mcgill.ca
https://www.mcgill.ca/apo/,academic.personnel@mcgill.ca
https://www.mcgill.ca/continuingstudies/,info.conted@mcgill.ca
https://www.mcgill.ca/maps/mclennan-library-building,campusmaps@mcgill.ca
https://www.mcgill.ca/maps/mclennan-library-building,campusmaps.cpdo@mcgill.ca
